image_idx,label,prediction,correct,radius
0,3,3,1,0.5863564867387286
1,8,8,1,0.7046495750995613
2,8,8,1,0.33458553581762757
3,0,0,1,0.7639456866020711
4,6,6,1,0.14521193300188853
5,6,6,1,0.5617957445317001
6,1,1,1,0.6301063246464266
7,6,6,1,0.20874214079215245
8,3,3,1,0.3898977214640638
9,1,1,1,0.4067391326300841
10,0,0,1,0.345172973494861
11,9,9,1,0.7996443786845846
12,5,-1,0,0.0
13,7,7,1,0.7996443786845846
14,9,9,1,0.7996443786845846
15,8,8,1,0.7996443786845846
16,5,5,1,0.21695103811811792
17,7,7,1,0.7275895071106926
18,8,8,1,0.6115417202379467
19,6,6,1,0.7784908980456575
20,7,7,1,0.4879497320760281
21,0,0,1,0.7996443786845846
22,4,0,0,0.14755415262992305
23,9,9,1,0.7996443786845846
24,5,4,0,0.4198757278799294
25,2,2,1,0.11670342331183467
26,4,4,1,0.03661549483584907
27,0,0,1,0.34432245928286587
28,9,9,1,0.5092638611229995
29,6,6,1,0.7784908980456575
30,6,6,1,0.3489656704153716
31,5,5,1,0.09800579206523526
32,4,8,0,0.07602993294774622
33,5,2,0,0.11634983918398187
34,9,9,1,0.7996443786845846
35,2,-1,0,0.0
36,4,4,1,0.06983623648774494
37,1,9,0,0.20837871420488815
38,9,9,1,0.7996443786845846
39,5,5,1,0.7275895071106926
40,4,4,1,0.7996443786845846
41,6,6,1,0.7996443786845846
42,5,5,1,0.386567500619448
43,6,6,1,0.7096995062825092
44,0,0,1,0.17390321306706796
45,9,9,1,0.7996443786845846
46,3,3,1,0.5664359561987167
47,9,9,1,0.10287999321570723
48,7,7,1,0.7096995062825092
49,6,6,1,0.31904776924818357
50,9,9,1,0.7996443786845846
51,8,8,1,0.477288672895684
52,0,2,0,0.229792148534032
53,3,5,0,0.14333275813080135
54,8,8,1,0.7348363129819991
55,8,8,1,0.6703246983993488
56,7,7,1,0.210566211606707
57,7,3,0,0.2605695056036183
58,4,3,0,0.11939882458114487
59,6,6,1,0.14589054514235272
60,7,7,1,0.7996443786845846
61,3,3,1,0.0940534564394475
62,6,6,1,0.7639456866020711
63,3,9,0,0.14709976406554254
64,6,6,1,0.6616304920975951
65,2,2,1,0.4193264693767306
66,1,1,1,0.3060709856288282
67,2,2,1,0.7996443786845846
68,3,3,1,0.3614403039453735
69,7,7,1,0.4902942484879909
70,2,4,0,0.013618172901082436
71,6,6,1,0.3646622345162736
72,8,8,1,0.574338143864181
73,8,8,1,0.7996443786845846
74,0,0,1,0.30634703295455523
75,2,2,1,0.5733153237668234
76,9,9,1,0.436203112409138
77,3,3,1,0.18330614775963908
78,3,3,1,0.5143902348427628
79,8,8,1,0.7784908980456575
80,8,8,1,0.7784908980456575
81,1,1,1,0.5412968794764936
82,1,1,1,0.7996443786845846
83,7,7,1,0.18456347012124574
84,2,2,1,0.3907981253848519
85,5,7,0,0.6836758893496957
86,2,2,1,0.07655934768246245
87,7,-1,0,0.0
88,8,8,1,0.7996443786845846
89,9,9,1,0.7996443786845846
90,0,0,1,0.3521322779581729
91,3,-1,0,0.0
92,8,8,1,0.7996443786845846
93,6,6,1,0.7996443786845846
94,4,4,1,0.4390179973928704
95,6,6,1,0.1283721006304685
96,6,6,1,0.5923568480067831
97,0,0,1,0.11670342331183467
98,0,0,1,0.7996443786845846
99,7,7,1,0.7996443786845846
100,4,4,1,0.08924916620914955
101,5,5,1,0.0020060564059914444
102,6,6,1,0.5852002769035897
103,3,3,1,0.7151489650449556
104,1,1,1,0.7996443786845846
105,1,1,1,0.7996443786845846
106,3,3,1,0.0008148826775125139
107,6,6,1,0.6767094767272421
108,8,8,1,0.7639456866020711
109,7,7,1,0.7996443786845846
110,4,4,1,0.2289100523044201
111,0,0,1,0.7996443786845846
112,6,6,1,0.019974228131988438
113,2,2,1,0.0510662201800836
114,1,1,1,0.30130165202510384
115,3,3,1,0.604224797257134
116,0,0,1,0.7639456866020711
117,4,4,1,0.6616304920975951
118,2,3,0,0.14816080130529094
119,7,5,0,0.21892364172421408
120,8,8,1,0.06499326037069349
121,3,-1,0,0.0
122,1,1,1,0.7525390365960288
123,2,2,1,0.7996443786845846
124,8,-1,0,0.0
125,0,0,1,0.04254194599661683
126,8,8,1,0.45405705035809196
127,3,3,1,0.49316981506994767
128,5,5,1,0.27209874565345193
129,2,0,0,0.019974228131988438
130,4,4,1,0.043180775883918006
131,1,1,1,0.7996443786845846
132,8,8,1,0.5753716721049287
133,9,9,1,0.7996443786845846
134,1,1,1,0.46514082667662326
135,2,2,1,0.32023198612641024
136,9,9,1,0.6421938791251363
137,7,7,1,0.7996443786845846
138,2,2,1,0.6228968108827379
139,9,8,0,0.2815542985863556
140,6,6,1,0.26404615929904784
141,5,5,1,0.7996443786845846
142,6,6,1,0.6211833179949894
143,3,-1,0,0.0
144,8,8,1,0.6400561844442304
145,7,7,1,0.3894494984383448
146,6,6,1,0.6282473352604903
147,2,2,1,0.1422093306588912
148,5,7,0,0.11762390251658769
149,2,2,1,0.49365591146509824
150,8,8,1,0.5293292092711938
151,9,9,1,0.41877933063280104
152,6,6,1,0.4946341278297156
153,0,0,1,0.7151489650449556
154,0,0,1,0.7784908980456575
155,5,5,1,0.5703087169918559
156,2,2,1,0.5286647503335491
157,9,9,1,0.7996443786845846
158,5,3,0,0.11514948942325944
159,4,4,1,0.6100306250334298
160,2,2,1,0.42349894949727945
161,1,1,1,0.5539416859672713
162,6,6,1,0.32858408425702046
163,6,6,1,0.4027744517378425
164,8,0,0,0.28763580402623645
165,4,2,0,0.28915237370487956
166,8,8,1,0.667318802937995
167,4,-1,0,0.0
168,5,5,1,0.17725474488340232
169,0,0,1,0.13508903890126528
170,9,9,1,0.7210768143394661
171,9,9,1,0.21527135640622194
172,9,9,1,0.15667560219372026
173,8,8,1,0.39102405777089155
174,9,9,1,0.7784908980456575
175,9,9,1,0.7996443786845846
176,3,3,1,0.4739317446631206
177,7,7,1,0.5591102182720671
178,5,3,0,0.22861667824702372
179,0,0,1,0.7996443786845846
180,0,0,1,0.6489554440091028
181,5,5,1,0.7996443786845846
182,2,2,1,0.7639456866020711
183,2,2,1,0.5032949321766671
184,3,-1,0,0.0
185,8,8,1,0.7996443786845846
186,6,6,1,0.05080892575973819
187,3,2,0,0.04900954170317619
188,4,3,0,0.3021111448195132
189,0,8,0,0.27647612286737666
190,5,5,1,0.13208322573764883
191,8,8,1,0.23746436553011427
192,0,0,1,0.4986301629289085
193,1,1,1,0.5038249798486408
194,7,7,1,0.7784908980456575
195,2,2,1,0.16002542423693086
196,8,8,1,0.7430371963615241
197,8,8,1,0.5875267844913576
198,7,7,1,0.7996443786845846
199,8,8,1,0.31323541009306577
200,5,3,0,0.06121614729723217
201,1,1,1,0.14491068821114345
202,8,8,1,0.7784908980456575
203,7,7,1,0.574338143864181
204,1,1,1,0.7996443786845846
205,3,3,1,0.7430371963615241
206,0,0,1,0.41342043159306585
207,5,5,1,0.6421938791251363
208,7,7,1,0.7996443786845846
209,9,9,1,0.7525390365960288
210,7,5,0,0.05557898511589023
211,4,4,1,0.0549976722002562
212,5,5,1,0.33979986838220455
213,9,7,0,0.02066742037720467
214,8,8,1,0.2709304621273375
215,0,0,1,0.7348363129819991
216,7,7,1,0.7996443786845846
217,9,9,1,0.7096995062825092
218,8,0,0,0.31611936169519234
219,2,2,1,0.4861065334546216
220,7,7,1,0.4917233510396427
221,6,6,1,0.15350881205609693
222,9,9,1,0.7996443786845846
223,4,4,1,0.3029239454672733
224,3,3,1,0.1549731077075373
225,9,9,1,0.22920375460111184
226,6,4,0,0.06629945686777217
227,4,4,1,0.5138090728860231
228,7,7,1,0.12325464751449947
229,6,6,1,0.21854681647197116
230,5,5,1,0.7996443786845846
231,1,1,1,0.7996443786845846
232,5,5,1,0.30565764100730086
233,8,1,0,0.09059883324848966
234,8,8,1,0.6874168892291687
235,0,0,1,0.7996443786845846
236,4,4,1,0.5599975538065698
237,0,7,0,0.31309234814073805
238,5,3,0,0.11051553626147041
239,5,5,1,0.7430371963615241
240,1,1,1,0.7996443786845846
241,1,1,1,0.6301063246464266
242,8,1,0,0.08595415949746506
243,9,9,1,0.4643712687734421
244,0,0,1,0.7996443786845846
245,3,3,1,0.2762372545702803
246,1,1,1,0.7348363129819991
247,9,8,0,0.6734511600442032
248,2,2,1,0.7430371963615241
249,2,2,1,0.39654975863400466
