image_idx,label,prediction,correct,radius
0,3,3,1,0.5126556205886809
1,8,8,1,0.6489554440091028
2,8,8,1,0.4874862786590071
3,0,0,1,0.6443873803377348
4,6,6,1,0.15013877597546185
5,6,6,1,0.40155701543727623
6,1,1,1,0.44450108074272754
7,6,-1,0,0.0
8,3,3,1,0.2855059815657697
9,1,1,1,0.3214237297516292
10,0,0,1,0.4226545084538726
11,9,9,1,0.7996443786845846
12,5,5,1,0.03776056790105467
13,7,7,1,0.7996443786845846
14,9,9,1,0.7996443786845846
15,8,8,1,0.7784908980456575
16,5,5,1,0.04958759820268966
17,7,7,1,0.7784908980456575
18,8,8,1,0.5191506885171496
19,6,6,1,0.7996443786845846
20,7,7,1,0.3217228563293205
21,0,0,1,0.7996443786845846
22,4,0,0,0.1860787184763804
23,9,9,1,0.7996443786845846
24,5,4,0,0.39701948794770936
25,2,2,1,0.3194909763623058
26,4,4,1,0.15947806635694933
27,0,0,1,0.23245647788581592
28,9,9,1,0.5390858066516874
29,6,6,1,0.7784908980456575
30,6,6,1,0.3401309106124507
31,5,5,1,0.396081491826637
32,4,8,0,0.1131082887286585
33,5,5,1,0.1833898185164448
34,9,9,1,0.7996443786845846
35,2,1,0,0.0066473834731992296
36,4,4,1,0.013681034665432126
37,1,9,0,0.36013166188862733
38,9,9,1,0.7996443786845846
39,5,5,1,0.6379712475011602
40,4,4,1,0.7996443786845846
41,6,6,1,0.7996443786845846
42,5,5,1,0.04503522596463723
43,6,6,1,0.7784908980456575
44,0,0,1,0.667318802937995
45,9,9,1,0.7046495750995613
46,3,3,1,0.7096995062825092
47,9,3,0,0.06394970630708037
48,7,7,1,0.5693263748553922
49,6,6,1,0.2602358293229398
50,9,9,1,0.7430371963615241
51,8,8,1,0.3505416420732964
52,0,2,0,0.3429702148677691
53,3,5,0,0.059203709738147
54,8,8,1,0.7996443786845846
55,8,8,1,0.5887115570399496
56,7,7,1,0.2539851793194276
57,7,3,0,0.18030811060990365
58,4,3,0,0.009660237991356553
59,6,6,1,0.062386664042949576
60,7,7,1,0.7996443786845846
61,3,-1,0,0.0
62,6,6,1,0.7046495750995613
63,3,9,0,0.0343280189652006
64,6,6,1,0.5703087169918559
65,2,2,1,0.5222321355995085
66,1,1,1,0.4313382241715943
67,2,2,1,0.7996443786845846
68,3,3,1,0.3221724472480697
69,7,7,1,0.4505639430310892
70,2,-1,0,0.0
71,6,6,1,0.3358748792755497
72,8,8,1,0.7275895071106926
73,8,8,1,0.7996443786845846
74,0,0,1,0.365045465860731
75,2,2,1,0.5254015364020985
76,9,9,1,0.3296747935312302
77,3,3,1,0.03242438832645111
78,3,3,1,0.6466400188500935
79,8,8,1,0.7639456866020711
80,8,8,1,0.474762474832778
81,1,1,1,0.5173418068850262
82,1,1,1,0.7996443786845846
83,7,7,1,0.5531049162755474
84,2,2,1,0.3162647114788478
85,5,7,0,0.5458621301069703
86,2,2,1,0.08147448545233796
87,7,-1,0,0.0
88,8,8,1,0.7348363129819991
89,9,9,1,0.7784908980456575
90,0,0,1,0.5347960955282599
91,3,-1,0,0.0
92,8,8,1,0.7996443786845846
93,6,6,1,0.7996443786845846
94,4,4,1,0.5260464761949085
95,6,6,1,0.02199136572563782
96,6,6,1,0.6115417202379467
97,0,0,1,0.21295510173395715
98,0,0,1,0.7996443786845846
99,7,7,1,0.7996443786845846
100,4,4,1,0.12218051441451747
101,5,5,1,0.3046965348782672
102,6,6,1,0.7996443786845846
103,3,3,1,0.6874168892291687
104,1,1,1,0.7996443786845846
105,1,1,1,0.7996443786845846
106,3,5,0,0.06160615365840787
107,6,6,1,0.7784908980456575
108,8,8,1,0.6703246983993488
109,7,7,1,0.7996443786845846
110,4,4,1,0.287509919349884
111,0,0,1,0.7996443786845846
112,6,6,1,0.19229868706021305
113,2,2,1,0.1287346066257846
114,1,1,1,0.608544239465263
115,3,3,1,0.5398177502954438
116,0,0,1,0.7996443786845846
117,4,4,1,0.6000988084302388
118,2,2,1,0.07121574438561708
119,7,5,0,0.33652305596452897
120,8,8,1,0.3000935372030692
121,3,2,0,0.06728040646479466
122,1,1,1,0.7996443786845846
123,2,2,1,0.7639456866020711
124,8,8,1,0.222529662148745
125,0,0,1,0.08682675615818307
126,8,8,1,0.5522748523030007
127,3,3,1,0.6246442748297839
128,5,5,1,0.13604638948291078
129,2,0,0,0.11726967294261822
130,4,4,1,0.2504406637075372
131,1,1,1,0.7996443786845846
132,8,8,1,0.7430371963615241
133,9,9,1,0.7996443786845846
134,1,1,1,0.5875267844913576
135,2,2,1,0.3040128879582971
136,9,9,1,0.37719158924428625
137,7,7,1,0.7996443786845846
138,2,2,1,0.6703246983993488
139,9,8,0,0.17981107100298682
140,6,6,1,0.23414819529872796
141,5,5,1,0.7996443786845846
142,6,6,1,0.5254015364020985
143,3,7,0,0.10088419265489736
144,8,8,1,0.40034948381215546
145,7,7,1,0.3006295757821981
146,6,6,1,0.6379712475011602
147,2,2,1,0.35019017080801385
148,5,7,0,0.1236132257666196
149,2,2,1,0.15721890153682613
150,8,8,1,0.7996443786845846
151,9,9,1,0.5911261582824705
152,6,6,1,0.6211833179949894
153,0,0,1,0.5247603471432254
154,0,0,1,0.7996443786845846
155,5,5,1,0.30815088990994455
156,2,2,1,0.477288672895684
157,9,9,1,0.7996443786845846
158,5,3,0,0.11620847456594133
159,4,4,1,0.6874168892291687
160,2,2,1,0.45801102550015493
161,1,1,1,0.667318802937995
162,6,-1,0,0.0
163,6,6,1,0.4561987823585232
164,8,0,0,0.4833934571957447
165,4,2,0,0.3850376696928116
166,8,8,1,0.7151489650449556
167,4,-1,0,0.0
168,5,5,1,0.060566501548785664
169,0,0,1,0.3306149162202837
170,9,9,1,0.7784908980456575
171,9,9,1,0.018588441635113258
172,9,9,1,0.13084281441401957
173,8,8,1,0.1419850075954606
174,9,9,1,0.7784908980456575
175,9,9,1,0.7996443786845846
176,3,3,1,0.5664359561987167
177,7,7,1,0.41029849648455424
178,5,3,0,0.08448001469915406
179,0,0,1,0.7996443786845846
180,0,0,1,0.7639456866020711
181,5,5,1,0.604224797257134
182,2,2,1,0.7996443786845846
183,2,2,1,0.3577282924502791
184,3,3,1,0.11479698129294764
185,8,8,1,0.7996443786845846
186,6,6,1,0.10612953270909792
187,3,2,0,0.06076134761628752
188,4,3,0,0.08000975869336376
189,0,0,1,0.013618172901082436
190,5,-1,0,0.0
191,8,8,1,0.33250991155537324
192,0,0,1,0.41905263624182865
193,1,1,1,0.608544239465263
194,7,7,1,0.7996443786845846
195,2,2,1,0.15182017749600746
196,8,8,1,0.7639456866020711
197,8,8,1,0.7046495750995613
198,7,7,1,0.7996443786845846
